Year,Country,Documents,Citable documents,Sqrt(Documents),Citations,Self-citations,Sqrt(citations),Citations per document,H index,continent
2000,Hungary,5960,5834,76.38062582,131315,18397,336,22.03,419,Europa
2001,Hungary,5875,5759,75.88807548,133976,18776,339,22.8,419,Europa
2002,Hungary,6287,6146,78.39642849,148115,20523,357,23.56,419,Europa
2003,Hungary,6627,6451,80.31811751,171727,22161,387,25.91,419,Europa
2004,Hungary,7070,6822,82.59539939,174357,23264,389,24.66,419,Europa
2005,Hungary,8001,7638,87.39565207,180468,22868,397,22.56,419,Europa
2006,Hungary,8013,7655,87.49285685,162543,21114,376,20.28,419,Europa
2007,Hungary,8617,8180,90.44335244,165540,22446,378,19.21,419,Europa
2008,Hungary,9262,8762,93.60555539,165744,23443,377,17.9,419,Europa
2009,Hungary,9116,8608,92.77930804,150247,21845,358,16.48,419,Europa
2010,Hungary,9138,8533,92.37423883,163677,24035,374,17.91,419,Europa
2011,Hungary,10058,9386,96.88137076,150934,24345,356,15.01,419,Europa
2012,Hungary,10605,9807,99.03029839,165434,25559,374,15.6,419,Europa
2013,Hungary,10530,9670,98.33615815,132548,22558,332,12.59,419,Europa
2014,Hungary,11024,10269,101.3360745,119710,20286,315,10.86,419,Europa
2015,Hungary,10914,10109,100.5435229,98904,16560,287,9.06,419,Europa
2016,Hungary,11154,10307,101.5233963,81478,13091,262,7.3,419,Europa
2017,Hungary,11448,10468,102.3132445,44168,7674,191,3.86,419,Europa
2018,Hungary,11772,10582,102.8688485,10347,2110,91,0.88,419,Europa
1996,Mexico,4890,4839,69.56292116,88901,18934,265,18.18,411,Sur America
